category,median,lower,upper
white,0.909440064544822,0.8853637539590641,0.9527593121704392
black,1.1477081341433653,1.0689973049593502,1.2148955587015795
hispanic,0.9934679358312413,0.9101359718813304,1.0627843387157074
asian,1.0738231391423803,1.0249274844320457,1.11811743360141
indian,1.0831114502060841,0.9890297120157531,1.2177497695031487
mixed,1.083881863936281,0.9735170724339014,1.2055665691506876
middle_eastern,1.197938253272471,0.9965523283310598,1.3847057257951563
