,lower,median,upper
baseline,0.19832957459256448,0.1984645121991854,0.19859692588974298
white,0.1968489878472894,0.19700164084101446,0.19713680891458646
race_all_black,0.22859081796532904,0.228965852094548,0.229324558669574
race_all_hispanic,0.1934865708477113,0.19385189993881297,0.19427231639703413
race_all_asian,0.20035222945082917,0.20063108268023588,0.20086337699878862
race_all_indian,0.17677518018181942,0.1772783128151097,0.17780335129340005
race_all_mixed,0.19068625498581068,0.1912376193954036,0.1917742353349011
race_all_middle_eastern,0.22035374823898815,0.2214894778997483,0.2226284715175952
