,lower,median,upper
baseline,0.6366356402091227,0.6379693402048231,0.6394071325406812
unknown,0.6415078009976237,0.6431169580113205,0.6451251929990905
white,0.6242877809725235,0.6267345378773466,0.630187106013223
black,0.641079446752108,0.6513086817188106,0.6601812293301303
hispanic,0.5987589728451695,0.6090515329607942,0.6228479977825921
asian,0.6056300886326694,0.6153117205065748,0.624513567652928
indian,0.5969203403453005,0.6176333087037672,0.637399691115649
mixed,0.6088677787645211,0.6321814035127065,0.6535805672525716
middle_eastern,0.5951024144792824,0.631797980937157,0.672729192455968
