,lower,median,upper
baseline,0.20270667440239112,0.20382210287359936,0.2049393682267601
unknown,0.20332092019187975,0.20479956935110555,0.20618983995448908
white,0.1978047461708001,0.2002620075994399,0.2025518204610941
black,0.20469639895090608,0.2147750388139249,0.22293453276311714
hispanic,0.18630454704167868,0.19702460563647303,0.20589598851234375
asian,0.1989988257069756,0.20478763701966704,0.21325740707545648
indian,0.1801613239455257,0.19680068965536043,0.21403460127318952
mixed,0.1999949866902968,0.21759592491366772,0.23420061471981948
middle_eastern,0.20202613061405464,0.2297432278540053,0.2639070012203211
