,lower,median,upper
baseline,0.2188554400275157,0.22008360276910555,0.2214163352468819
unknown,0.21928214484461503,0.2205969038977306,0.22247684587173586
white,0.21234705739704632,0.21521225184878418,0.21800022602775096
black,0.23218789306132454,0.24144865746980934,0.2515541923135492
hispanic,0.21005769161306428,0.2220722807807958,0.23324680893140384
asian,0.22525245019186393,0.23283704571458796,0.24177574333606514
indian,0.20946871762863528,0.2284584596582642,0.24470945191533505
mixed,0.21340014322590942,0.2271674381190027,0.24093960817944604
middle_eastern,0.23282823122705779,0.2642060646479417,0.2894831838651561
