,lower,median,upper
baseline,0.6190663601214983,0.6192393785717509,0.6194231724763926
white,0.6179204796855444,0.6180873918567372,0.6183003133590619
race_all_black,0.6641806205224285,0.6645783332218086,0.6649290374010627
race_all_hispanic,0.5947335622034221,0.5952318853210165,0.5957365253092084
race_all_asian,0.6111321776399057,0.6114489983891029,0.6118571240563938
race_all_indian,0.6159905206583051,0.6168737550625283,0.6176710228012194
race_all_mixed,0.6223001653048688,0.6229849858892527,0.6237245826377875
race_all_middle_eastern,0.6125862097989585,0.6139272903797985,0.6151272701519857
