,lower,median,upper
baseline,0.6190663601214983,0.6192393785717509,0.6194231724763926
male,0.608332898484243,0.6085437795811508,0.6087675981742648
gender_all_female,0.6336599749678624,0.6338303331196915,0.6340312064055832
