,lower,median,upper
baseline,0.6301057030223509,0.6313873964988512,0.6330375508923763
unknown,0.6685789296496771,0.672316257256004,0.6762144631651461
male,0.6127516172117446,0.6154379423580091,0.6172237195162001
female,0.6312919039257178,0.6334282999809531,0.6362045070485299
