,lower,median,upper
baseline,0.6301057030223509,0.6313873964988512,0.6330375508923763
unknown,0.6319250670907771,0.6338107173866421,0.6357243531456951
white,0.6219702398691521,0.625527707852542,0.6282519185136403
black,0.6430718902599964,0.653333496298476,0.6644677762633481
hispanic,0.5912399118303425,0.6047291813520006,0.6171045079086297
asian,0.6153088493797026,0.6242258942361096,0.6329056397287485
indian,0.607487247585486,0.6306139384052987,0.6487507529507626
mixed,0.6151531267581531,0.6328076657855897,0.6472785792957295
middle_eastern,0.606019222128131,0.6422253817095488,0.668160100460019
